event_index,arrival_monotonic_ns,arrival_epoch_ns,topic,message_type,header_stamp_ns,simulation_time_s,payload_json
63910,89858695027979,1789731706678041473,/current_map_pose,PoseWithCovarianceStamped,1789731706671799645,,"{""covariance_6x6"":[0.06129275573870838,-0.0005022394069860272,0.0,0.0,0.0,-0.0046020246592403105,-0.0005022394069860272,0.04205035150468395,0.0,0.0,0.0,-0.00019596300338939972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0046020246592403105,-0.00019596300338939972,0.0,0.0,0.0,0.013814014663802972],""covariance_xx_m2"":0.06129275573870838,""covariance_yawyaw_rad2"":0.013814014663802972,""covariance_yy_m2"":0.04205035150468395,""x_m"":-3.703823465531803,""y_m"":5.042533193588686,""yaw_rad"":2.179770325079272}"
63919,89858698675582,1789731706681689107,/amcl_pose,PoseWithCovarianceStamped,1789731706671799645,,"{""covariance_6x6"":[0.02188548449889987,0.0024156968993876674,0.0,0.0,0.0,-0.0019563882802596955,0.0024156968993876674,0.028891007458299908,0.0,0.0,0.0,-0.00038278016868059466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019563882802596955,-0.00038278016868059466,0.0,0.0,0.0,0.011841495850934016],""covariance_xx_m2"":0.02188548449889987,""covariance_yawyaw_rad2"":0.011841495850934016,""covariance_yy_m2"":0.028891007458299908,""x_m"":-3.780016191695965,""y_m"":5.1187805897717045,""yaw_rad"":2.1797703250792715}"
63931,89858721317196,1789731706704330681,/odom,Odometry,1789731706698268370,,"{""lateral_speed_mps"":0.003358199638897011,""speed_mps"":1.0574237803733875,""x_m"":1.8031471483818056,""y_m"":8.793873727450391,""yaw_rad"":-2.516610049254626,""yaw_rate_radps"":0.6692}"
63932,89858721550104,1789731706704563538,/ekf_odom,Odometry,1789731706698268370,,"{""lateral_speed_mps"":0.003358199638897011,""speed_mps"":1.0574237803733875,""x_m"":1.803147148381848,""y_m"":8.793873727450416,""yaw_rad"":-2.516610049254629,""yaw_rate_radps"":0.6692}"
63933,89858721739229,1789731706704752714,/current_map_pose,PoseWithCovarianceStamped,1789731706698268370,,"{""covariance_6x6"":[0.06121044015621825,0.0024156968993876674,0.0,0.0,0.0,-0.0019563882802596955,0.0024156968993876674,0.04208840763940665,0.0,0.0,0.0,-0.00038278016868059466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019563882802596955,-0.00038278016868059466,0.0,0.0,0.0,0.011841495850934016],""covariance_xx_m2"":0.06121044015621825,""covariance_yawyaw_rad2"":0.011841495850934016,""covariance_yy_m2"":0.04208840763940665,""x_m"":-3.796136447474616,""y_m"":5.141355264637421,""yaw_rad"":2.1957789311300666}"
63941,89858725105053,1789731706708118658,/amcl_pose,PoseWithCovarianceStamped,1789731706698268370,,"{""covariance_6x6"":[0.01930204675046246,0.0010319546053171292,0.0,0.0,0.0,-4.26829272066132e-05,0.0010319546053171292,0.028237848599427594,0.0,0.0,0.0,0.0001906371357920385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26829272066132e-05,0.0001906371357920385,0.0,0.0,0.0,0.010134062743932937],""covariance_xx_m2"":0.01930204675046246,""covariance_yawyaw_rad2"":0.010134062743932937,""covariance_yy_m2"":0.028237848599427594,""x_m"":-3.8605166766557155,""y_m"":5.205105511266261,""yaw_rad"":2.195778931130066}"
63953,89858744788188,1789731706727801703,/odom,Odometry,1789731706722740593,,"{""lateral_speed_mps"":0.0033081799814256296,""speed_mps"":1.0776407353999153,""x_m"":1.7821023688557063,""y_m"":8.778305493318873,""yaw_rad"":-2.4989678667814426,""yaw_rate_radps"":0.6764}"
63956,89858745931717,1789731706728945232,/ekf_odom,Odometry,1789731706722740593,,"{""lateral_speed_mps"":0.0033081799814256296,""speed_mps"":1.0776407353999153,""x_m"":1.7821023688557482,""y_m"":8.778305493318898,""yaw_rad"":-2.498967866781445,""yaw_rate_radps"":0.6764}"
63957,89858746160687,1789731706729174112,/current_map_pose,PoseWithCovarianceStamped,1789731706722740593,,"{""covariance_6x6"":[0.061130776553368786,0.0010319546053171292,0.0,0.0,0.0,-4.26829272066132e-05,0.0010319546053171292,0.04212412342626379,0.0,0.0,0.0,0.0001906371357920385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4.26829272066132e-05,0.0001906371357920385,0.0,0.0,0.0,0.010134062743932937],""covariance_xx_m2"":0.061130776553368786,""covariance_yawyaw_rad2"":0.010134062743932937,""covariance_yy_m2"":0.04212412342626379,""x_m"":-3.876084910787233,""y_m"":5.226150290792362,""yaw_rad"":2.2134211136032502}"
63965,89858749990473,1789731706733004018,/amcl_pose,PoseWithCovarianceStamped,1789731706722740593,,"{""covariance_6x6"":[0.017362513477945048,0.0005504429111875561,0.0,0.0,0.0,-1.0634408203797174e-05,0.0005504429111875561,0.028152327061598276,0.0,0.0,0.0,0.00012788451149529096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0634408203797174e-05,0.00012788451149529096,0.0,0.0,0.0,0.011407401248589771],""covariance_xx_m2"":0.017362513477945048,""covariance_yawyaw_rad2"":0.011407401248589771,""covariance_yy_m2"":0.028152327061598276,""x_m"":-3.959133545767689,""y_m"":5.270044356488573,""yaw_rad"":2.2134211136032502}"
