s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
6.28995721,-4.64552354,-0.72055901,-1.686277630,-0.44471381,0.274398263,3.13901902,-2.54842203,3.52173301,-0.244723549,0.520215120,2.99958093,2.9486329,1.5730924
6.42973404,-4.75847288,-0.63865289,-1.636064244,-0.42913125,0.473286013,3.17492766,-2.51964509,3.56118495,-0.238417795,0.447432668,2.99967806,2.0447851,3.6275406
6.56951086,-4.85020802,-0.53346052,-1.377502213,-0.39499430,0.634974792,3.22922933,-2.47731114,3.62004977,-0.231413917,0.302503401,2.99981125,1.6177410,3.1877436
6.70928769,-4.92021898,-0.41262438,-1.074070334,-0.33106260,0.731878545,3.31498117,-2.41324800,3.71159937,-0.219738933,0.436282949,2.99987588,1.4008557,2.9702462
6.84906452,-4.97135858,-0.28261149,-0.609682769,-0.23481898,0.749998298,3.43517508,-2.32879889,3.83785667,-0.205655511,0.256698173,2.99990457,1.2885522,2.8946476
6.98884134,-5.01266315,-0.14907690,-0.046636475,-0.12234198,0.684308820,3.57676618,-2.23648975,3.98454536,-0.190327099,0.367432039,2.99990666,1.2407633,2.9121702
7.12861817,-5.05295186,-0.01523281,-0.050900528,-0.01925708,0.586491262,3.71609083,-2.15257581,4.12743490,-0.177272170,0.170325643,2.99989204,1.2091183,2.9365032
7.26839500,-5.09218688,0.11892416,-0.054597066,0.06563577,0.501990543,3.84378888,-2.08092707,4.25755102,-0.165919478,0.360811544,2.99987797,1.1734385,2.7341036
7.40817182,-5.13037603,0.25338265,-0.055453096,0.13617059,0.426968400,3.96300479,-2.01825554,4.37855455,-0.156895872,0.077515747,2.99986405,1.1366192,0.9219516
7.54794865,-5.16751538,0.38813488,-0.056052748,0.19472246,0.359035556,4.07569782,-1.96203217,4.49265777,-0.148200086,0.387927079,2.99985003,1.1092883,0.8994018
7.68772548,-5.20359842,0.52317380,-0.056355722,0.24289784,0.296709982,4.18319649,-1.91162494,4.60132662,-0.141681774,-0.037511022,2.99983572,1.0814610,0.8880462
7.82750230,-5.23861888,0.65849218,-0.056367592,0.28185420,0.238962383,4.28645253,-1.86367050,4.70559296,-0.133649238,0.510139525,2.99982098,1.0573808,0.9027252
7.96727913,-5.27257148,0.79408242,-0.056593296,0.31246287,0.185026792,4.38618175,-1.82204402,4.80622192,-0.130421550,-0.331521545,2.99980570,1.0318291,0.9157435
