# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
69.498425,-18.635371,38.153765,-2.702048,-0.028728,8.536971,3.399600,1.333080,0.985320
69.849563,-18.953131,38.004347,-2.711243,-0.027287,8.675210,3.417349,1.333080,0.956340
70.201229,-19.272732,37.857636,-2.721132,-0.028226,8.811985,3.423938,1.362060,0.927360
70.553712,-19.594515,37.713759,-2.730999,-0.027387,8.946928,3.408065,1.391040,0.869400
70.906144,-19.917654,37.573084,-2.740305,-0.027751,9.079253,3.382854,1.420020,0.898380
71.258724,-20.242224,37.435365,-2.750415,-0.031810,9.208719,3.346288,1.449000,0.869400
71.611642,-20.568483,37.300806,-2.762561,-0.035307,9.335020,3.290958,1.449000,0.869400
71.964665,-20.896450,37.170180,-2.775126,-0.035445,9.457587,3.213540,1.449000,0.840420
72.317620,-21.225969,37.043709,-2.787367,-0.034764,9.575757,3.124382,1.449000,0.840420
72.670763,-21.557187,36.921216,-2.799453,-0.033309,9.689267,3.023185,1.477980,0.840420
73.024260,-21.890195,36.802617,-2.810679,-0.031230,9.797848,2.905797,1.477980,0.840420
73.378167,-22.224901,36.687630,-2.821307,-0.029865,9.901091,2.772190,1.477980,0.840420
73.732794,-22.561494,36.575980,-2.831576,-0.031646,9.998594,2.631291,1.420020,0.898380
74.088380,-22.900128,36.467500,-2.843456,-0.037717,10.090269,2.483786,1.420020,0.869400
74.444659,-23.240690,36.362847,-2.857977,-0.045544,10.176047,2.327635,1.362060,0.927360
74.801237,-23.583023,36.263066,-2.875326,-0.054876,10.255782,2.164814,1.362060,0.956340
75.158213,-23.927419,36.169134,-2.896374,-0.065056,10.329387,2.001024,1.333080,0.985320
75.515314,-24.273837,36.082442,-2.920867,-0.074640,10.396959,1.836758,1.304100,1.014300
75.871878,-24.621750,36.004376,-2.948623,-0.083446,10.458600,1.670803,1.217160,1.043280
76.227806,-24.971072,35.936118,-2.979253,-0.090803,10.514357,1.506211,1.217160,1.043280
76.583324,-25.321916,35.878657,-3.012164,-0.096271,10.564370,1.344865,1.188180,1.101240
76.938444,-25.674065,35.832823,-3.046662,-0.099910,10.608826,1.186780,1.217160,1.072260
77.292505,-26.026532,35.799262,-3.082094,-0.101364,10.647902,1.032260,1.246140,1.072260
77.646290,-26.379691,35.778225,-3.117574,-0.099997,10.681775,0.917580,1.217160,1.072260
78.000035,-26.733334,35.769729,3.131098,-0.095636,10.711794,0.879627,1.246140,1.043280
78.353579,-27.086859,35.773439,3.098656,-0.089835,10.740493,1.004047,1.275120,1.014300
78.706838,-27.439792,35.788602,3.068234,-0.083259,10.773157,1.175885,1.275120,1.014300
79.060481,-27.792483,35.814522,3.040396,-0.073859,10.811287,1.353934,1.304100,0.985320
79.414598,-28.144789,35.850296,3.016516,-0.061479,10.855024,1.530754,1.275120,1.014300
79.768603,-28.496029,35.894459,2.997365,-0.048086,10.904262,1.714524,1.333080,0.956340
80.123475,-28.847216,35.945464,2.982876,-0.033583,10.959148,1.899645,1.333080,0.985320
80.479219,-29.198488,36.001689,2.973855,-0.015405,11.019642,2.086743,1.333080,0.985320
80.835128,-29.549402,36.061109,2.972092,0.004515,11.085713,2.282097,1.333080,0.985320
81.191109,-29.900282,36.121160,2.977014,0.021074,11.157521,2.484111,1.333080,0.985320
81.547161,-30.251523,36.179494,2.986842,0.034015,11.235164,2.690951,1.333080,0.927360
81.902882,-30.602993,36.234323,3.000827,0.044517,11.318672,2.907271,1.333080,0.927360
82.258089,-30.954687,36.284158,3.017995,0.049289,11.408205,3.135052,1.391040,0.927360
82.612989,-31.306879,36.327912,3.035323,0.046768,11.503972,3.370569,1.362060,0.898380
82.967414,-31.659304,36.365505,3.050737,0.039634,11.606052,3.617238,1.391040,0.898380
83.321210,-32.011642,36.397606,3.063061,0.026991,11.714614,3.879998,1.391040,0.927360
83.674827,-32.364169,36.425347,3.069626,0.008360,11.829954,3.924025,1.362060,0.898380
84.028122,-32.716549,36.450751,3.068914,-0.013088,11.945470,-4.622884,1.391040,0.956340
84.380685,-33.068182,36.476352,3.060466,-0.032113,11.809262,-5.702528,1.362060,0.985320
84.732839,-33.419177,36.504890,3.046440,-0.046107,11.639048,-6.090263,1.333080,0.956340
85.084415,-33.769162,36.538293,3.028188,-0.057357,11.454468,-6.451169,1.304100,1.043280
85.435099,-34.117594,36.577977,3.006297,-0.065417,11.255649,-6.860142,1.275120,1.043280
85.785324,-34.464618,36.625216,2.982413,-0.069807,11.040299,-7.124667,1.275120,1.072260
86.135356,-34.810225,36.680699,2.957430,-0.070271,10.812105,-7.237973,1.217160,1.072260
86.484883,-35.153842,36.744706,2.933230,-0.065696,10.575241,-6.913986,1.217160,1.072260
86.834700,-35.496092,36.817068,2.911453,-0.056932,10.343915,-6.285923,1.217160,1.043280
87.184726,-35.836890,36.896914,2.893373,-0.045021,10.129020,-5.738942,1.246140,1.072260
87.535042,-36.176470,36.982979,2.879938,-0.030748,9.928763,-5.245761,1.217160,1.043280
87.885732,-36.515223,37.073696,2.871849,-0.014280,9.742115,-4.796954,1.246140,1.014300
88.236459,-36.853268,37.167159,2.869943,0.003601,9.568249,-4.419343,1.275120,0.985320
88.587534,-37.191469,37.261359,2.874370,0.022119,9.405226,-4.082605,1.304100,0.985320
88.938258,-37.529745,37.353969,2.885431,0.041850,9.252072,-3.780861,1.362060,0.956340
89.288152,-37.868221,37.442621,2.903652,0.060987,9.107941,-3.549696,1.391040,0.927360
89.638142,-38.208351,37.525115,2.928124,0.075849,8.970515,-3.351052,1.391040,0.898380
89.987101,-38.549389,37.599042,2.956780,0.085091,8.838819,-3.181921,1.362060,0.898380
90.334823,-38.891189,37.662940,2.987647,0.089308,8.711928,-3.077913,1.362060,0.927360
90.683195,-39.235442,37.716359,3.019291,0.090807,8.587400,-3.005927,1.362060,0.927360
91.031415,-39.581061,37.758841,3.051271,0.090173,8.464017,-2.962944,1.333080,0.956340
91.379619,-39.927845,37.790248,3.082382,0.086456,8.340612,-2.962645,1.304100,0.985320
91.729545,-40.277158,37.810956,3.111758,0.079748,8.215366,-2.967521,1.275120,1.072260
92.080925,-40.628382,37.821438,3.138248,0.070450,8.087970,-3.008093,1.217160,1.130220
92.432996,-40.980451,37.822615,-3.122102,0.061046,7.956751,-3.073124,1.159200,1.188180
92.786293,-41.333680,37.815730,-3.102275,0.052722,7.820421,-3.166830,1.101240,1.246140
93.143652,-41.690763,37.801683,-3.085206,0.047776,7.677402,-3.281896,1.043280,1.275120
93.503154,-42.049694,37.781422,-3.068795,0.046154,7.526320,-3.394543,1.014300,1.362060
93.864730,-42.410312,37.755124,-3.052915,0.046628,7.366793,-3.495657,0.927360,1.391040
94.228640,-42.772792,37.722895,-3.036200,0.051220,7.198820,-3.554770,0.898380,1.420020
