# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
83.044045,-32.501290,36.859121,3.003157,-0.013664,11.719994,-5.275195,1.796760,0.463680
83.394439,-32.848219,36.908273,2.996631,-0.022792,11.561473,-5.588923,1.767780,0.463680
83.744349,-33.194242,36.960282,2.987195,-0.028940,11.391117,-5.900836,1.767780,0.492660
84.094359,-33.539803,37.015909,2.976375,-0.031049,11.208444,-6.253929,1.767780,0.492660
84.444329,-33.884680,37.075404,2.965462,-0.029230,11.011534,-6.668734,1.767780,0.492660
84.793955,-34.228567,37.138491,2.955926,-0.023868,10.797607,-6.856792,1.796760,0.492660
85.143729,-34.572053,37.204513,2.948769,-0.016826,10.573135,-6.225331,1.738800,0.463680
85.493730,-34.915369,37.272589,2.944152,-0.009558,10.365126,-5.727920,1.767780,0.463680
85.843311,-35.258042,37.341744,2.942082,-0.002018,10.169980,-5.272471,1.767780,0.521640
86.193283,-35.601046,37.411234,2.942740,0.006110,9.986981,-4.839708,1.767780,0.492660
86.543168,-35.944107,37.479996,2.946358,0.014910,9.816000,-4.462561,1.796760,0.492660
86.892790,-36.287262,37.546935,2.953170,0.024189,9.655660,-4.119890,1.738800,0.463680
87.242418,-36.630975,37.610972,2.963273,0.033684,9.505231,-3.811638,1.738800,0.463680
87.591761,-36.975138,37.670914,2.976714,0.043172,9.363906,-3.553407,1.738800,0.521640
87.941025,-37.320088,37.725633,2.993433,0.052389,9.230207,-3.320797,1.738800,0.521640
88.289987,-37.665684,37.773980,3.013293,0.061172,9.103485,-3.123973,1.709820,0.550620
88.638724,-38.012013,37.814897,3.036113,0.069124,8.982641,-2.973218,1.680840,0.550620
88.987743,-38.359512,37.847437,3.061525,0.075573,8.866100,-2.842006,1.651860,0.637560
89.336421,-38.707413,37.870696,3.088840,0.079529,8.753252,-2.745801,1.622880,0.666540
89.685262,-39.055992,37.884212,3.116998,0.080198,8.642824,-2.692858,1.564920,0.724500
90.034919,-39.405630,37.887872,-3.138327,0.078403,8.533138,-2.657511,1.535940,0.753480
90.384282,-39.754943,37.881930,-3.111382,0.075285,8.423491,-2.653158,1.391040,0.898380
90.733877,-40.104208,37.866761,-3.085706,0.071477,8.312582,-2.651156,1.333080,0.956340
91.084849,-40.454361,37.842801,-3.061308,0.068830,8.200257,-2.690652,1.246140,1.043280
91.435117,-40.803140,37.810527,-3.037440,0.068138,8.084664,-2.749919,1.159200,1.130220
91.784537,-41.150209,37.770063,-3.013633,0.067573,7.964792,-2.833559,1.072260,1.246140
92.136170,-41.498412,37.721071,-2.990067,0.066303,7.839356,-2.968845,1.014300,1.362060
92.487552,-41.845121,37.663953,-2.967021,0.064740,7.705741,-3.129473,0.898380,1.420020
92.838593,-42.190115,37.599077,-2.944593,0.064042,7.562342,-3.315908,0.782460,1.477980
93.189531,-42.533479,37.526564,-2.922065,0.063780,7.407372,-3.531357,0.724500,1.564920
93.542527,-42.877110,37.445792,-2.899695,0.062439,7.238685,-3.739089,0.637560,1.651860
93.895634,-43.218982,37.357431,-2.877976,0.061153,7.055681,-3.900759,0.550620,1.709820
94.249215,-43.559346,37.261658,-2.856479,0.061614,6.859562,-3.941781,0.521640,1.738800
94.604038,-43.898748,37.158192,-2.834329,0.065512,6.655513,-3.745508,0.463680,1.738800
94.961129,-44.237873,37.046353,-2.809841,0.075106,6.455652,-3.363145,0.463680,1.767780
95.320168,-44.575772,36.924969,-2.780543,0.091901,6.270768,-2.645254,0.463680,1.796760
95.680015,-44.910322,36.792434,-2.743775,0.115557,6.121427,-1.843735,0.463680,1.767780
96.041412,-45.240552,36.645613,-2.697198,0.142656,6.015144,-1.148374,0.492660,1.767780
96.404002,-45.563769,36.481289,-2.640494,0.167306,5.947986,-0.764051,0.521640,1.738800
96.766441,-45.876141,36.297481,-2.575897,0.187419,5.902880,-0.501744,0.521640,1.680840
