# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
48.698628,1.759967,-4.882052,-0.173010,0.008281,8.913920,-9.195324,0.340000,1.310000
48.718627,1.779674,-4.885494,-0.172840,0.008749,8.893266,-9.189896,0.330000,1.330000
48.738627,1.799376,-4.888932,-0.172660,0.009216,8.872575,-9.184312,0.330000,1.330000
48.758626,1.819073,-4.892365,-0.172471,0.009683,8.851849,-9.178364,0.330000,1.320000
48.778625,1.838775,-4.895795,-0.172273,0.010169,8.831087,-9.172025,0.340000,1.320000
48.798625,1.858481,-4.899222,-0.172064,0.010675,8.810291,-9.165519,0.320000,1.320000
48.818624,1.878186,-4.902644,-0.171846,0.011179,8.789461,-9.158857,0.320000,1.330000
48.838624,1.897887,-4.906061,-0.171617,0.011683,8.768596,-9.151826,0.330000,1.350000
48.858623,1.917593,-4.909474,-0.171378,0.012204,8.747698,-9.144480,0.330000,1.350000
48.878623,1.937301,-4.912883,-0.171129,0.012735,8.726766,-9.136979,0.330000,1.340000
48.898622,1.957008,-4.916286,-0.170869,0.013265,8.705801,-9.129334,0.340000,1.340000
48.918622,1.976715,-4.919684,-0.170599,0.013794,8.684804,-9.121457,0.340000,1.330000
48.938621,1.996424,-4.923076,-0.170317,0.014328,8.663773,-9.113403,0.320000,1.330000
48.958621,2.016134,-4.926463,-0.170025,0.014864,8.642710,-9.105225,0.330000,1.350000
48.978620,2.035845,-4.929844,-0.169723,0.015399,8.621615,-9.096933,0.330000,1.340000
48.998619,2.055559,-4.933219,-0.169409,0.015932,8.600487,-9.088731,0.330000,1.340000
49.018619,2.075270,-4.936587,-0.169086,0.016452,8.579326,-9.080494,0.340000,1.340000
49.038618,2.094984,-4.939949,-0.168752,0.016967,8.558132,-9.072180,0.340000,1.350000
49.058618,2.114700,-4.943305,-0.168407,0.017480,8.536905,-9.063798,0.340000,1.350000
49.078617,2.134420,-4.946654,-0.168052,0.017992,8.515645,-9.056114,0.330000,1.350000
49.098616,2.154134,-4.949995,-0.167688,0.018459,8.494349,-9.048496,0.330000,1.340000
49.118616,2.173852,-4.953329,-0.167314,0.018920,8.473019,-9.040860,0.330000,1.360000
49.138615,2.193574,-4.956656,-0.166931,0.019378,8.451652,-9.033211,0.340000,1.360000
49.158615,2.213301,-4.959976,-0.166539,0.019836,8.430249,-9.026637,0.340000,1.350000
49.178614,2.233018,-4.963286,-0.166138,0.020233,8.408808,-9.020099,0.340000,1.350000
49.198614,2.252741,-4.966590,-0.165730,0.020629,8.387327,-9.013585,0.350000,1.350000
49.218613,2.272469,-4.969885,-0.165313,0.021022,8.365806,-9.007157,0.350000,1.360000
49.238613,2.292202,-4.973173,-0.164889,0.021411,8.344246,-9.001420,0.350000,1.360000
49.258612,2.311923,-4.976450,-0.164457,0.021765,8.322643,-8.995724,0.360000,1.360000
49.278611,2.331652,-4.979720,-0.164018,0.022118,8.300999,-8.990073,0.340000,1.350000
49.298611,2.351387,-4.982982,-0.163572,0.022469,8.279310,-8.984553,0.340000,1.350000
49.318610,2.371125,-4.986235,-0.163120,0.022814,8.257579,-8.979489,0.350000,1.350000
49.338610,2.390852,-4.989477,-0.162660,0.023138,8.235802,-8.974478,0.350000,1.360000
49.358609,2.410586,-4.992711,-0.162194,0.023460,8.213980,-8.969522,0.350000,1.360000
49.378609,2.430328,-4.995936,-0.161722,0.023782,8.192112,-8.964778,0.360000,1.360000
49.398608,2.450072,-4.999153,-0.161243,0.024094,8.170197,-8.960541,0.360000,1.370000
49.418608,2.469805,-5.002357,-0.160758,0.024383,8.148233,-8.956362,0.360000,1.370000
49.438607,2.489546,-5.005554,-0.160268,0.024671,8.126221,-8.952243,0.370000,1.370000
49.458606,2.509295,-5.008741,-0.159771,0.024958,8.104159,-8.948398,0.370000,1.360000
49.478606,2.529043,-5.011918,-0.159269,0.025233,8.082045,-8.945030,0.350000,1.360000
49.498605,2.548783,-5.015084,-0.158762,0.025487,8.059880,-8.941721,0.370000,1.360000
49.518605,2.568531,-5.018241,-0.158250,0.025740,8.037662,-8.938472,0.380000,0.600000
49.538604,2.588287,-5.021388,-0.157733,0.025993,8.015390,-8.935543,0.380000,1.370000
49.558603,2.608041,-5.024525,-0.157210,0.026231,7.993064,-8.933044,0.360000,1.370000
49.578603,2.627787,-5.027650,-0.156684,0.026450,7.970681,-8.930598,0.390000,1.360000
49.598602,2.647542,-5.030765,-0.156152,0.026669,7.948241,-8.928206,0.390000,1.360000
49.618602,2.667305,-5.033871,-0.155617,0.026888,7.925745,-8.926168,0.370000,1.360000
