# s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2,d_left_m,d_right_m
110.809471,50.827055,46.819280,0.095256,-0.045410,6.724287,8.474533,0.312500,0.781250
110.829469,50.846963,46.821174,0.094359,-0.044261,6.749443,8.487684,0.312500,0.781250
110.849467,50.866873,46.823049,0.093485,-0.043112,6.774545,8.500840,0.312500,0.781250
110.869465,50.886784,46.824907,0.092635,-0.041963,6.799593,8.513984,0.312500,0.781250
110.889463,50.906697,46.826749,0.091804,-0.041189,6.824587,8.520828,0.312500,0.781250
110.909461,50.926612,46.828574,0.090987,-0.040567,6.849510,8.525234,0.312500,0.781250
110.929459,50.946528,46.830383,0.090182,-0.039945,6.874356,8.529743,0.312500,0.781250
110.949457,50.966445,46.832176,0.089389,-0.039322,6.899125,8.534352,0.312500,0.781250
110.969455,50.986365,46.833953,0.088609,-0.038684,6.923819,8.539306,0.312500,0.781250
110.989453,51.006285,46.835716,0.087842,-0.038040,6.948439,8.544453,0.312500,0.781250
111.009452,51.026207,46.837462,0.087088,-0.037395,6.972987,8.549684,0.312500,0.781250
111.029450,51.046129,46.839194,0.086346,-0.036751,6.997464,8.554994,0.312500,0.781250
111.049448,51.066054,46.840912,0.085619,-0.036025,7.021871,8.561702,0.312500,0.812500
111.069446,51.085980,46.842615,0.084906,-0.035266,7.046212,8.569010,0.312500,0.812500
111.089444,51.105906,46.844304,0.084208,-0.034507,7.070491,8.576356,0.312500,0.812500
111.109442,51.125833,46.845979,0.083526,-0.033747,7.094706,8.583731,0.281250,0.812500
111.129440,51.145763,46.847641,0.082859,-0.032912,7.118860,8.592314,0.281250,0.812500
111.149438,51.165693,46.849289,0.082209,-0.032044,7.142957,8.601380,0.281250,0.812500
111.169436,51.185624,46.850925,0.081577,-0.031177,7.166998,8.610406,0.281250,0.812500
111.189435,51.205556,46.852548,0.080962,-0.030310,7.190983,8.619384,0.281250,0.812500
111.209433,51.225489,46.854160,0.080365,-0.029372,7.214914,8.629337,0.281250,0.812500
111.229431,51.245423,46.855759,0.079788,-0.028404,7.238793,8.639615,0.281250,0.812500
111.249429,51.265358,46.857348,0.079229,-0.027435,7.262622,8.649751,0.281250,0.812500
111.269427,51.285293,46.858925,0.078690,-0.026467,7.286401,8.659729,0.343750,0.812500
111.289425,51.305230,46.860492,0.078171,-0.025434,7.310129,8.670407,0.343750,0.812500
111.309423,51.325168,46.862049,0.077673,-0.024372,7.333810,8.681216,0.343750,0.812500
111.329421,51.345106,46.863596,0.077196,-0.023310,7.357444,8.691750,0.343750,0.812500
111.349419,51.365044,46.865133,0.076741,-0.022247,7.381031,8.701990,0.343750,0.812500
111.369417,51.384984,46.866662,0.076307,-0.021125,7.404571,8.712616,0.343750,0.812500
111.389415,51.404925,46.868183,0.075896,-0.019976,7.428064,8.723147,0.343750,0.812500
111.409414,51.424866,46.869695,0.075508,-0.018828,7.451512,8.733241,0.343750,0.812500
111.429412,51.444806,46.871200,0.075143,-0.017678,7.474914,8.742876,0.343750,0.812500
111.449410,51.464749,46.872698,0.074801,-0.016474,7.498267,8.752549,0.343750,0.812500
111.469408,51.484691,46.874189,0.074484,-0.015246,7.521574,8.761869,0.343750,0.843750
111.489406,51.504634,46.875674,0.074192,-0.014017,7.544834,8.770563,0.343750,0.843750
111.509404,51.524577,46.877154,0.073924,-0.012789,7.568046,8.778603,0.312500,0.843750
