stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded
1789484659.2534769,19.710300006650183,19.710300006650183,19.710190090448332,0.065825151321640324,207.0856042679909,25.723131841224177,0,0,1,0,0
1789484659.2774756,19.712050955476503,19.712050955476503,19.711943034956672,0.065227738924562309,207.51992285700067,25.910581430619718,0,0,1,0,0
1789484659.3024766,19.713938534427665,19.713938534427665,19.713832048250023,0.064795930291731405,207.97245192596426,26.105809953815562,0,0,1,0,0
1789484659.3274763,19.715483636770823,19.715483636770823,19.715378967182755,0.064243382118164397,208.42501996516179,26.30098526567398,0,0,1,0,0
1789484659.3524768,19.716929669173084,19.716929669173084,19.716826284098193,0.063850307849229043,208.87763911842768,26.496183951143269,0,0,1,0,0
1789484659.3774765,19.71810091847113,19.71810091847113,19.717998884130409,0.063433716933612425,209.33027438832102,26.691380398167922,0,0,1,0,0
1789484659.4024758,19.719717877364761,19.719717877364761,19.719616790552458,0.063141085047653672,209.78294045678669,26.886581566893796,0,0,1,0,0
1789484659.4274766,19.720527891157801,19.720527891157801,19.720427428392689,0.062947179683121843,210.23568859793707,27.081740250864897,0,0,1,0,0
1789484659.4524763,19.721390364710672,19.721390364710672,19.721290847231835,0.062651705426024787,210.68846281570535,27.276831852060809,0,0,1,0,0
1789484659.4774771,19.72224575570036,19.72224575570036,19.722146969526644,0.062422436927052058,211.14128091382804,27.471935291569388,0,0,1,0,0
1789484659.5024765,19.723249349161204,19.723249349161204,19.723150697879873,0.062381390723140549,211.59409582539286,27.667033552663039,0,0,1,0,0
1789484659.5274758,19.72414792335967,19.72414792335967,19.72414792335967,0,212.04724027566166,27.861423937346164,0,0,0,0,0
1789484659.5524769,19.724817951473987,19.724817951473987,19.724817951473987,0,212.50074053597422,28.055118124277932,0,0,0,0,0
1789484659.5784767,19.725915142378604,19.725915142378604,19.725915142378604,0,212.97237834177344,28.256558728769807,0,0,0,0,0
