s_ref_m,x_ref_m,y_ref_m,kappa_ref,ey_m,epsi_rad,u_mps,r_radps,target_mps,delta_rad,qdelta_radps,qv_mps2,left_m,right_m
10.61812656,-5.70797698,3.40628129,-0.083615319,0.50247317,-0.015440039,6.03512294,-1.32557240,6.46729129,-0.069682739,0.126598804,2.99999933,0.8024732,0.9508665
10.79809480,-5.72177034,3.58571878,-0.084668134,0.49718846,-0.040894069,6.12704500,-1.30567905,6.55985863,-0.067602263,0.007399250,2.99999916,0.8033618,0.9386850
10.97806305,-5.73282650,3.76534569,-0.084719767,0.48724486,-0.065082194,6.21766643,-1.28665593,6.65111601,-0.065755730,0.114768177,2.99999892,0.8085155,0.9231578
11.15803130,-5.74114013,3.94512042,-0.085247882,0.47286783,-0.088118213,6.30704498,-1.26842150,6.74112164,-0.063886334,0.009140847,2.99999856,0.8146722,0.9067620
11.33799954,-5.74670306,4.12500127,-0.084849499,0.45426637,-0.110102877,6.39523245,-1.25093162,6.82992770,-0.062242299,0.102560823,2.99999794,0.8239529,0.8874415
11.51796779,-5.74951510,4.30494614,-0.084889770,0.43163232,-0.131133311,6.48227200,-1.23413453,6.91757769,-0.060555977,0.012296822,2.99999666,0.8364279,0.8640463
11.69793604,-5.74957469,4.48491298,-0.084888363,0.40514495,-0.151228699,6.56821780,-1.21798625,7.00412613,-0.059082597,0.090332779,2.99999271,0.8515262,0.8414589
11.87790428,-5.74688463,4.66485973,-0.084801598,0.37497671,-0.170483084,6.64587191,-1.20375435,6.95762881,-0.058086765,-0.021096461,-6.31362155,0.8713693,0.8282152
12.05787253,-5.74144957,4.84474449,-0.084689909,0.34126714,-0.189165892,6.68598529,-1.19653258,6.75533476,-0.059101819,-0.050782788,-7.99999142,0.8932962,0.8261418
12.23784078,-5.73327771,5.02452573,-0.084554264,0.30408365,-0.207771675,6.66936234,-1.19951470,6.52939613,-0.060807796,-0.069997029,-7.99999532,0.9175361,0.8335087
12.41780902,-5.72237841,5.20416226,-0.084077356,0.26339314,-0.226875477,6.60444039,-1.21130618,6.30190799,-0.063281261,-0.103792236,-7.99999654,0.9466775,0.8379162
12.59777727,-5.70876445,5.38361348,-0.083731690,0.21905686,-0.246978249,6.50071339,-1.23063397,6.07126813,-0.066245180,-0.101837899,-7.99999704,0.9774852,0.8438628
12.77774552,-5.69245082,5.56283947,-0.083579925,0.17084069,-0.268506397,6.36479280,-1.25691438,5.83598994,-0.070055539,-0.156658800,-7.99999715,1.0108930,0.8570521
12.95771376,-5.67345404,5.74180095,-0.082902217,0.11841807,-0.291957782,6.20126961,-1.29005828,5.59460516,-0.074513787,-0.139101563,-7.99999681,1.0496702,0.8791857
