s_m,v_ref_mps,kappa_radpm,ax_ref_mps2,ay_ref_mps2,delta_ff_rad,d_left_m,d_right_m,core_bin_id
32.038598,7.316603,-0.019337,-9.055755,-1.0351614227104593,-0.006265106026998111,0.925,1.2375,s7_k0
32.058597,7.291808,-0.019096,-9.041667,-1.0153431788036666,-0.0061870250538384255,0.9375,1.2375,s7_k0
32.078597,7.266967,-0.018842,-9.046554,-0.9950235863207951,-0.006104732162315753,0.9375,1.2375,s7_k0
32.098596,7.242028,-0.018589,-9.074441,-0.9749367170167019,-0.006022763176356115,0.9375,1.225,s7_k0
32.118595,7.216925,-0.018336,-9.077212,-0.9550123423703399,-0.005940794109462554,0.925,1.225,s7_k0
32.138594,7.191727,-0.01803,-9.080035,-0.932528498482798,-0.005841653550447,0.925,1.225,s7_k0
32.158593,7.166432,-0.017702,-9.082719,-0.9091348482032661,-0.005735385111358479,0.925,1.2375,s7_k0
32.178592,7.14104,-0.017375,-9.085266,-0.8860286083928002,-0.005629440532462134,0.9375,1.2375,s7_k0
32.198591,7.11555,-0.017048,-9.087717,-0.8631581711290199,-0.005523495827191764,0.9375,1.225,s7_k0
32.21859,7.089962,-0.016715,-9.090055,-0.8402222848135364,-0.005415607054960551,0.95,1.225,s7_k0
32.23859,7.064275,-0.01638,-9.092262,-0.8174272132947376,-0.005307070174905739,0.95,1.225,s7_k0
32.258589,7.038487,-0.016045,-9.094342,-0.7948741014529166,-0.005198533169812339,0.95,1.2125,s7_k0
32.278588,7.012599,-0.01571,-9.095292,-0.7725635177837236,-0.005089996042237327,0.9625,1.2125,s7_k0
32.298587,6.986612,-0.015525,-9.095484,-0.7578179008783956,-0.005030057576938222,0.9625,1.2125,s6_k0
32.318586,6.960528,-0.015447,-9.095652,-0.7483909312490965,-0.00500478621314476,0.975,1.2,s6_k0
32.338585,6.934345,-0.015369,-9.095797,-0.7390205255590354,-0.004979514842958712,0.975,1.2,s6_k0
32.358584,6.908062,-0.015291,-9.094938,-0.7297067132310506,-0.004954243466412354,0.95,1.1875,s6_k0
32.378583,6.881681,-0.01537,-9.093185,-0.7278852881391465,-0.004979838834924491,0.9625,1.1875,s6_k0
