motion_regime,force_curve_region,wheel_speed_bin_mps,median_wheel_speed_mps,median_body_vx_mps,median_slip_speed_mps,median_slip_ratio,slip_ratio_mad,slip_ratio_p10,slip_ratio_p90,samples
traction,post_extremum,10.0,11.028588107666662,9.4382,1.7355249129547659,0.19175155959700707,0.035629237806842406,-0.20982995611265573,0.23016679939450974,31
traction,post_extremum,12.0,13.36329135567064,11.6446,2.020451506169188,0.1742673664259592,0.03839268367515397,-0.16762257704889683,0.2311366081584815,45
traction,post_extremum,14.0,14.544381640454079,12.1773,2.349042616332169,0.19361532290185324,0.020228101978003288,0.154317786368181,0.22829712453412543,46
traction,post_extremum,16.0,17.000757155884138,14.2607,2.6187801035422886,0.1793365407548534,0.0281252299907917,0.1507301464359426,0.24198816768292492,25
traction,post_extremum,18.0,18.899444647627817,15.89595,3.034983548928837,0.18987618831486874,0.020691700981924938,0.1674614682507444,0.2480352111276121,20
traction,post_extremum,20.0,20.907725252033636,17.1377,3.811000907186587,0.2271103871988006,0.01452127867129245,0.16729103656596434,0.24451872450256287,24
traction,post_extremum,22.0,23.012976297148235,19.018050000000002,4.0885794822200285,0.2171960665136362,0.028292553898190104,0.1702669706516436,0.24403971953793369,12
traction,post_extremum,24.0,25.08139801365946,20.6987,4.501257314472127,0.22007371687334282,0.009071453585086042,0.19981846349090523,0.23408470279159888,4
traction,post_extremum,26.0,26.757465184112398,22.592,4.165465184112399,0.18437788527409701,0.0,0.18437788527409701,0.18437788527409701,1
traction,pre_extremum,0.0,1.6189116694645231,1.6331,-0.07922554519409619,-0.04358212384667343,0.07576092708923304,-0.11934305093590648,0.11887992571601119,21
traction,pre_extremum,2.0,3.1049290301600685,3.11925,-0.12789549740759032,-0.03515314188137335,0.06695126908399207,-0.11482653553609465,0.09230318907997528,26
traction,pre_extremum,4.0,5.275285885117329,5.688000000000001,-0.19032274053012532,-0.0335411121555554,0.07396834941975382,-0.13543150132358808,0.11184260883958776,48
traction,pre_extremum,6.0,7.285470118501683,7.3877,-0.43696033604349793,-0.051985668266054906,0.07708708628838129,-0.14414623871188925,0.0939904669661259,55
traction,pre_extremum,8.0,8.946348351886272,9.1334,-0.2578383471084713,-0.02731049116708731,0.08460368983017477,-0.1262303501651834,0.10263490345273285,61
traction,pre_extremum,10.0,10.771559514694808,11.4799,-0.34925059598788266,-0.030615783343884675,0.060328926776382505,-0.12025515372359262,0.09553462446458431,91
traction,pre_extremum,12.0,13.27707647984247,13.1681,0.16257321810991243,0.012050219424822517,0.07053498503393207,-0.10646712279885517,0.11417784578391282,113
traction,pre_extremum,14.0,14.57086294481082,14.8249,0.048420841569297934,0.0031353135303908994,0.055093831337346744,-0.07392538005951645,0.1132549920940189,71
traction,pre_extremum,16.0,16.825413355181766,16.8851,0.34747752835857426,0.020986813021859792,0.07986821867567412,-0.09454833884480912,0.13004898638747744,56
traction,pre_extremum,18.0,19.291540357693034,18.4614,0.2371670613104726,0.012871745596322067,0.08987606119354974,-0.12064157965340541,0.13425589756869244,47
traction,pre_extremum,20.0,20.836236729275427,20.2245,0.4214899146575739,0.021388912750308228,0.040415792385513793,-0.06388328530486864,0.1088762173373802,45
traction,pre_extremum,22.0,23.021615816820265,22.090899999999998,1.254551614976041,0.05703207279875444,0.049179984402975094,-0.004727577596871456,0.13779514901271886,22
traction,pre_extremum,24.0,24.23302423554326,22.53655,1.6964742355432634,0.0752913068211758,0.005266696233242205,0.07002461058793359,0.080558003054418,2
