stamp_s,time_s,gt_x_m,gt_y_m,gt_yaw_rad,amcl_x_m,amcl_y_m,amcl_yaw_rad,amcl_error_m,amcl_error_rad,ekf_x_m,ekf_y_m,ekf_yaw_rad,ekf_error_m,ekf_error_rad,odom_x_m,odom_y_m,odom_yaw_rad,odom_error_m,odom_error_rad,gt_speed_mps
1788158632.282223,6.767483,11.053208,-1.482107,-0.917272,10.682416,-1.468128,-0.866201,0.371055,0.051071,10.631199,-1.436823,-0.892640,0.424431,0.024631,10.749094,-1.335181,-0.917272,0.337746,0.000000,0.341229
1788158632.380945,6.866206,11.052897,-1.481715,-0.917156,10.682416,-1.468128,-0.866201,0.370730,0.050956,10.635829,-1.438583,-0.889326,0.419292,0.027830,10.749094,-1.335181,-0.917156,0.337296,0.000000,0.005033
1788158632.485959,6.971220,11.052692,-1.481521,-0.917262,10.682416,-1.468128,-0.866201,0.370518,0.051061,10.635829,-1.438583,-0.889432,0.419068,0.027830,10.749094,-1.335181,-0.917262,0.337027,0.000000,0.002704
1788158632.542819,7.028080,11.052589,-1.481423,-0.917222,10.682416,-1.468128,-0.866201,0.370412,0.051022,10.640794,-1.441485,-0.886568,0.413727,0.030654,10.749928,-1.336270,-0.917222,0.335668,0.000000,0.002517
1788158632.648912,7.134173,11.060472,-1.491712,-0.933265,10.729554,-1.520758,-0.879745,0.332190,0.053520,10.686963,-1.493144,-0.897796,0.373512,0.035469,10.787080,-1.385594,-0.933265,0.293265,0.000000,0.121741
1788158632.749096,7.234357,11.095889,-1.543166,-1.010599,10.817675,-1.634932,-0.956356,0.292958,0.054243,10.774741,-1.608539,-0.972749,0.327734,0.037850,10.866639,-1.502170,-1.010599,0.232886,0.000000,0.619315
1788158632.808445,7.293706,11.149424,-1.642743,-1.153733,10.904042,-1.779261,-1.099768,0.280801,0.053965,10.862438,-1.753932,-1.113770,0.307773,0.039963,10.944759,-1.649115,-1.153733,0.204764,0.000000,1.956064
1788158632.915840,7.401101,11.183332,-1.734252,-1.287999,10.951546,-1.892514,-1.235646,0.280663,0.052353,10.912437,-1.867759,-1.246260,0.302006,0.041739,10.986359,-1.763104,-1.287999,0.199074,0.000000,0.895470
1788158633.014756,7.500017,11.211231,-1.891550,-1.506986,10.993017,-2.073486,-1.455970,0.284110,0.051016,10.956081,-2.051487,-1.463658,0.301133,0.043328,11.018538,-1.946918,-1.506986,0.200490,0.000000,1.614466
1788158633.115891,7.601151,11.204042,-2.042402,-1.737303,10.993281,-2.240384,-1.689674,0.289165,0.047630,10.958321,-2.218223,-1.692857,0.302145,0.044446,11.010061,-2.111850,-1.737303,0.206038,0.000000,1.495739
1788158633.234087,7.719347,11.164944,-2.178719,-1.948544,10.963824,-2.375519,-1.906021,0.281389,0.042524,10.930517,-2.353729,-1.903649,0.292548,0.044895,10.973155,-2.244109,-1.948544,0.202631,0.000000,1.210506
1788158633.331597,7.816858,11.126719,-2.258991,-2.060291,10.931590,-2.457654,-2.023426,0.278464,0.036865,10.900502,-2.435315,-2.015710,0.286817,0.044581,10.936957,-2.322287,-2.060291,0.200040,0.000000,0.901095
1788158633.430016,7.915277,11.097375,-2.309110,-2.117649,10.906431,-2.508937,-2.085995,0.276388,0.031654,10.877322,-2.486725,-2.074032,0.282790,0.043618,10.909384,-2.370650,-2.117649,0.197808,0.000000,0.590706
1788158633.532619,8.017880,11.067619,-2.355138,-2.157033,10.877993,-2.559095,-2.130124,0.278489,0.026909,10.851005,-2.537440,-2.114892,0.283117,0.042140,10.879083,-2.418285,-2.157033,0.198830,0.000000,0.533969
1788158633.593391,8.078652,11.037295,-2.398681,-2.187990,10.848340,-2.606870,-2.165832,0.281152,0.022157,10.823251,-2.585856,-2.147660,0.284340,0.040330,10.847848,-2.463774,-2.187990,0.200318,0.000000,0.875157
