stamp_s,dt_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_raw_mps,wheel_mapped_mps,wheel_packet_mps,wheel_update_used,wheel_burst_rejected,turn_mode,reset_epoch,timing_degraded,sensor_outlier,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad,gt_speed_mps,gt_x_m,gt_y_m,gt_yaw_rad,gt_vx_mps,gt_vy_mps,gt_longitudinal_accel_mps2
1789002845.6282768,0.04805183410644531,6.794992125884004,6.794992125884004,6.794992125884004,0.0,7.879869110438142,0.20848920071134264,6.9195439163788235,6.794992125884004,6.993473948477738,True,False,True,False,False,False,145.1154,145.3019,-1.2177,-6.2395,-0.9247,-0.16758673288504777,6.58308252568658,1.0437,-4.8243,-1.7383274491820924,6.5823,-0.1015,-1.2264620197688434
1789002845.6786356,0.05035877227783203,6.433938396205675,6.433938396205675,6.433938396205675,0.0,8.198049525087956,0.14732860606654474,4.630969356872603,4.547611908448896,0.13227288312848717,False,False,True,False,False,False,145.2299,145.4132,-7.214,-5.4172,-0.8692,-0.21222043967404258,6.2346924198391696,0.985,-5.1393,-1.7829611559710872,6.2339,-0.0994,-6.918161227706731
1789002845.7283435,0.049707889556884766,6.082035851044468,6.082035851044468,6.082035851044468,0.0,8.492027285198361,0.07677661971653033,3.4802818705461824,3.417636796876351,0.0,False,False,True,False,False,False,145.2299,145.4132,-7.1304,-5.3549,-0.9127,-0.2588523073040514,5.879036669387256,0.9162,-5.434,-1.829593023601096,5.878,-0.1104,-7.15488120227474
1789002845.7779374,0.04959392547607422,5.739203874510137,5.739203874510137,5.739203874510137,0.0,8.767143969170355,0.0038050675247779664,1.7333779412714334,1.7021771383285476,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.909,2.0712,0.3668,-0.2596849340385663,5.535197182576245,0.8417,-5.7093,-1.8304256503356109,5.5351,0.0328,-6.933130146431539
1789002845.8287544,0.050817012786865234,5.392302835644102,5.392302835644102,5.392302835644102,0.0,9.032690882108744,-0.06381292709401756,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.8258,2.1266,0.4101,-0.23899076666542385,5.191277262870862,0.7747,-5.969,-1.8097314829624684,5.1911,0.0429,-6.767810637509102
1789002845.878729,0.049974679946899414,5.048664469205785,5.048664469205785,5.048664469205785,0.0,9.279078535221775,-0.11813727453669676,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.9692,5.7565,1.1608,-0.19503160689953236,4.858531928473868,0.7184,-6.2138,-1.765772323196577,4.8565,0.1405,-6.658278447216732
1789002845.9293392,0.05061006546020508,4.713160855639884,4.713160855639884,4.713160855639884,0.0,9.51339380848038,-0.16279738894859117,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.6166,-0.4529,-0.0787,-0.18164724556609557,4.529908743010172,0.6753,-6.4446,-1.7523879618631402,4.5299,-0.0089,-6.4932377082597
1789002845.9799578,0.050618648529052734,4.382413742711302,4.382413742711302,4.382413742711302,0.0,9.731460936320962,-0.20349262562844453,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.5224,-0.4407,-0.107,-0.1873441627343333,4.194423031836441,0.6346,-6.6633,-1.758084879031378,4.1944,-0.0139,-6.627709765526012
1789002846.0303614,0.050403594970703125,4.055664262205449,4.055664262205449,4.055664262205449,0.0,9.93161583796313,-0.24503267608864177,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.5798,-6.7401,-1.1728,-0.22192477232160052,3.881092373288737,0.5961,-6.8574,-1.792665488618645,3.878,-0.1549,-6.216434735058595
1789002846.0779257,0.04756426811218262,3.7526169334480866,3.7526169334480866,3.7526169334480866,0.0,10.105227147059049,-0.28648100622363976,0.0,0.0,0.0,False,False,True,False,False,False,145.2299,145.4132,-6.3681,-1.0674,-0.3282,-0.2467857464989569,3.5677188860671185,0.5527,-7.0386,-1.8175264627960015,3.5674,-0.0477,-6.588422352731509
