stamp_s,speed_pred_mps,speed_mps,body_u_mps,body_v_mps,x_m,y_m,wheel_update_used,turn_mode,reset_epoch,timing_degraded
1789484704.2018282,14.253343664574627,14.253343664574627,14.253343664574627,0,40.742901004853231,0.005028758500370204,0,0,0,0
1789484704.2268281,14.28935595850945,14.28935595850945,14.28935595850945,0,41.099682705869512,0.0050729700990728493,0,0,0,0
1789484704.2518277,14.32571540369988,14.32571540369988,14.32571540369988,0,41.45736563725918,0.0051172933762486158,0,0,0,0
1789484704.2768278,14.361813041400914,14.361813041400914,14.361813041400914,0,41.815961107997666,0.0051617297332807064,0,0,0,0
1789484704.3018279,14.397908179092413,14.397908179092413,14.397908179092413,0,42.175458991864048,0.0052062779153502388,0,0,0,0
1789484704.3268282,14.433623655939108,14.433623655939108,14.433623655939108,0,42.535857948815867,0.0052509377564021169,0,0,0,0
1789484704.3518283,14.468726289844518,14.468726289844518,14.468726289844518,0,42.897138698535755,0.0052957068672620875,0,0,0,0
1789484704.3768277,14.504080413198476,14.504080413198476,14.504080413198476,0,43.259289799591237,0.0053405838301331613,0,0,0,0
1789484704.4018278,14.537883042144781,14.537883042144781,14.537883042144781,0,43.622315724824517,0.0053855691992800445,0,0,0,0
1789484704.4268281,14.571683493423468,14.571683493423468,14.571683493423468,0,43.986190161908404,0.0054306597141373907,0,0,0,0
1789484704.451828,14.60540830044747,14.60540830044747,14.60540830044747,0,44.350901719623373,0.0054758539631304887,0,0,0,0
1789484704.4768283,14.639388754129415,14.639388754129415,14.639388754129415,0,44.716466560750916,0.0055211539491154477,0,0,0,0
1789484704.5018277,14.67315291690827,14.67315291690827,14.67315291690827,0,45.082864243574861,0.0055665571390000439,0,0,0,0
1789484704.5268278,14.707030546140677,14.707030546140677,14.707030546140677,0,45.450117934999589,0.0056120664035757915,0,0,0,0
1789484704.5518281,14.740858497786528,14.740858497786528,14.740858497786528,0,45.818221459869157,0.0056576809776310334,0,0,0,0
1789484704.5768282,14.774236125111585,14.774236125111585,14.774236125111585,0,46.187161547212114,0.0057033992166563626,0,0,0,0
1789484704.6018281,14.807633434009558,14.807633434009558,14.807633434009558,0,46.556932798001903,0.0057492204516163565,0,0,0,0
1789484704.626828,14.840135748028761,14.840135748028761,14.840135748028761,0,46.927527789358322,0.0057951437626841311,0,0,0,0
1789484704.6518278,14.873105559372908,14.873105559372908,14.873105559372908,0,47.298941177592567,0.0058411684876815972,0,0,0,0
1789484704.6768279,14.904710679936414,14.904710679936414,14.904710679936414,0,47.671165297642993,0.0058872936767712805,0,0,0,0
1789484704.7018282,14.936593605613714,14.936593605613714,14.936593605613714,0,48.044186578653338,0.0059335176482827106,0,0,0,0
1789484704.7268281,14.968120925211911,14.968120925211911,14.968120925211911,0,48.417993368466774,0.0059798389583064042,0,0,0,0
1789484704.7518277,14.999127952075009,14.999127952075009,14.999127952075009,0,48.79257826075775,0.006026256689066891,0,0,0,0
1789484704.7768278,15.030273070883755,15.030273070883755,15.030273070883755,0,49.167947202576151,0.0060727715775094303,0,0,0,0
1789484704.8018279,15.060758187174802,15.060758187174802,15.060758187174802,0,49.544086525266138,0.0061193819298444446,0,0,0,0
1789484704.8268282,15.091826101970677,15.091826101970677,15.091826101970677,0,49.920998858242008,0.0061660880719031329,0,0,0,0
1789484704.8518283,15.122891220474248,15.122891220474248,15.122891220474248,0,50.298684262622771,0.0062128900112592284,0,0,0,0
1789484704.8768277,15.152682981753355,15.152682981753355,15.152682981753355,0,50.677119553507865,0.0062597848748911699,0,0,0,0
1789484704.9018278,15.182825596737867,15.182825596737867,15.182825596737867,0,51.056314854337387,0.0063067739172732477,0,0,0,0
1789484704.9268281,15.213551006960875,15.213551006960875,15.213551006960875,0,51.436274631909008,0.006353857691921142,0,0,0,0
1789484704.951828,15.243945833039291,15.243945833039291,15.243945833039291,0,51.816991160996004,0.0064010352415418562,0,0,0,0
1789484704.9768283,15.27377373127938,15.27377373127938,15.27377373127938,0,52.198467745815016,0.0064483069755866028,0,0,0,0
1789484705.0018277,15.304160477805144,15.304160477805144,15.304160477805144,0,52.580682443042086,0.0064956701748872456,0,0,0,0
1789484705.0258279,15.332451875662811,15.332451875662811,15.332451875662811,0,52.948324359587851,0.0065412275474607089,0,0,0,0
1789484705.0518281,15.363022982907301,15.363022982907301,15.363022982907301,0,53.347369540153053,0.0065906763430046492,0,0,0,0
1789484705.0768282,15.391900593066222,15.391900593066222,15.391900593066222,0,53.731807548410117,0.0066383150500871346,0,0,0,0
1789484705.1018281,15.420702928256995,15.420702928256995,15.420702928256995,0,54.116962885580364,0.0066860426469808332,0,0,0,0
1789484705.126828,15.449525263333328,15.449525263333328,15.449525263333328,0,54.502838527001778,0.0067338595023830423,0,0,0,0
1789484705.1518278,15.478862595462806,15.478862595462806,15.478862595462806,0,54.889441160097782,0.0067817664449844692,0,0,0,0
1789484705.1768279,15.507657705307013,15.507657705307013,15.507657705307013,0,55.276774138435961,0.0068297638903517888,0,0,0,0
1789484705.2018282,15.535533077478414,15.535533077478414,15.535533077478414,0,55.66481920113285,0.006877849575636738,0,0,0,0
1789484705.2268281,15.563570417046552,15.563570417046552,15.563570417046552,0,56.05355576744855,0.0069260209505195821,0,0,0,0
1789484705.2518277,15.591579989647871,15.591579989647871,15.591579989647871,0,56.442989202168881,0.0069742786797927052,0,0,0,0
1789484705.2768278,15.618460092186933,15.618460092186933,15.618460092186933,0,56.833116188407175,0.0070226223524348539,0,0,0,0
1789484705.3018279,15.64526769444943,15.64526769444943,15.64526769444943,0,57.223914273510367,0.0070710491861629551,0,0,0,0
1789484705.3268282,15.672918063616757,15.672918063616757,15.672918063616757,0,57.615396819266607,0.0071195608367402227,0,0,0,0
1789484705.3518283,15.699390664601331,15.699390664601331,15.699390664601331,0,58.007552171306692,0.0071681558599830204,0,0,0,0
1789484705.3768277,15.726000004792219,15.726000004792219,15.726000004792219,0,58.400359811542124,0.0072168317133352346,0,0,0,0
1789484705.4018278,15.752372605395323,15.752372605395323,15.752372605395323,0,58.793840967154168,0.0072655910272221846,0,0,0,0
1789484705.4268281,15.77930796501637,15.77930796501637,15.77930796501637,0,59.187992233675033,0.0073144333797697568,0,0,0,0
1789484705.451828,15.805697814011578,15.805697814011578,15.805697814011578,0,59.582802543745942,0.0073633573995353493,0,0,0,0
1789484705.4768283,15.832110666656499,15.832110666656499,15.832110666656499,0,59.97828042684683,0.0074123641434732353,0,0,0,0
1789484705.5018277,15.858377515339857,15.858377515339857,15.858377515339857,0,60.374401703798931,0.0074614506153530989,0,0,0,0
1789484705.5268278,15.883400110793119,15.883400110793119,15.883400110793119,0,60.771175434645144,0.0075106179378754039,0,0,0,0
1789484705.5518281,15.909335457062726,15.909335457062726,15.909335457062726,0,61.168589932177255,0.007559864662787177,0,0,0,0
1789484705.5768282,15.935033055090909,15.935033055090909,15.935033055090909,0,61.566646053980797,0.0076091908963585178,0,0,0,0
1789484705.6018281,15.960632908606534,15.960632908606534,15.960632908606534,0,61.965339594110112,0.0076585961173979518,0,0,0,0
1789484705.626828,15.985667765355116,15.985667765355116,15.985667765355116,0,62.364666064491196,0.0077080797697532798,0,0,0,0
1789484705.6518278,16.01140511808396,16.01140511808396,16.01140511808396,0,62.764627183854365,0.0077576420664057597,0,0,0,0
1789484705.6768279,16.0369977157116,16.0369977157116,16.0369977157116,0,63.165233744387962,0.0078072843446994836,0,0,0,0
