scan_index,scan_stamp_s,gt_x_m,gt_y_m,gt_yaw_rad,seed_x_m,seed_y_m,seed_yaw_rad,match_x_m,match_y_m,match_yaw_rad,seed_error_m,match_error_m,seed_yaw_error_rad,match_yaw_error_rad,match_score,score_margin,gt_score,seed_score,valid_beams
1220,1788993936.401741,0.8871485990829555,2.2339951855601,-1.2947458647106984,0.6130797700046574,2.264343792395935,-1.2947458647106984,0.9630797700046575,2.1643437923959348,-1.3197458647106983,0.2757440135510207,0.10303814481661551,0.0,0.02499999999999991,0.9317216952040788,0.002152814577665696,0.8333657657969528,0.3989507102718013,120
1240,1788993937.556593,1.3773956094867654,-2.3153320843546643,-1.6640968754420224,1.097892240678561,-2.291724034102493,-1.6640968754420224,1.3228922406785608,-2.716724034102493,-1.6890968754420224,0.28049861534746334,0.40507544301501,0.0,0.02499999999999991,0.941308668824869,0.0007502112433775965,0.8551060101295328,0.3397357522857513,120
1260,1788993938.7520604,0.5873437952517613,-6.843488156181691,-1.8305341413580765,0.30639767675800966,-6.820336912843134,-1.8305341413580765,0.5313976767580096,-7.095336912843133,-1.8305341413580765,0.28189838872335937,0.2579879152333129,0.0,0.0,0.9941456091315662,0.00180135103644119,0.8097217449792937,0.02476048732653051,120
1280,1788993939.9795172,-0.9821372534194504,-10.099100881593287,-2.765329126531954,-1.2424582377392261,-9.998109997668427,-2.765329126531954,-1.067458237739226,-10.148109997668428,-2.8403291265319544,0.27922423518230194,0.09839493799866948,0.0,0.07500000000000018,0.9905672435503575,0.0049293788585395015,0.7346245371621171,0.40511123499608664,120
1300,1788993941.1765895,-3.062128175772637,-8.137585209229607,1.785512890169356,-3.3557070996480127,-8.036869445057315,1.785512890169356,-3.1057070996480127,-7.936869445057314,1.735512890169356,0.3103743702315522,0.2053921629308271,0.0,0.050000000000000044,0.9986489867226691,0.00360270207288238,0.7539841171954402,0.12681590101804693,120
1320,1788993942.3315926,-2.5101799091192274,-3.673215896444395,1.2917897731337638,-2.799263587162062,-3.563874145218883,1.2917897731337638,-2.474263587162062,-3.538874145218883,1.2917897731337638,0.30907117541407025,0.1390600169181211,0.0,0.0,0.9972979734453382,0.003602702072882269,0.9213399056117632,0.4345146381417115,120
1340,1788993943.528732,-1.388723457481137,0.9383217459346951,1.4077672671234964,-1.680596402404845,1.045075708506997,1.4077672671234964,-1.355596402404845,1.120075708506997,1.4327672671234963,0.3107832436012701,0.18474821971743435,0.0,0.02499999999999991,0.9878408805040223,0.0015196922482786368,0.9155496931540582,0.41918545567885546,120
1360,1788993944.6823568,-1.7908714622464241,3.6715441138117213,2.4149130900822087,-2.0684289209205,3.665781919755654,2.4149130900822087,-1.8434289209205,3.6907819197556537,2.489913090082209,0.277617264855684,0.055967666020780134,0.0,0.07500000000000018,0.9977483112044485,0.0013510132773308925,0.5210348569171533,0.43814874368293727,120
1380,1788993945.8828554,-3.1700300068460807,2.6188208078771757,-1.6748556204375888,-3.5502201216831413,2.6104271124159375,-1.6748556204375888,-3.1752201216831413,2.460427112415937,-1.6748556204375888,0.38028275998697775,0.15847870536412606,0.0,0.0,0.9972979734453382,0.002702026554661785,0.9269055607517701,0.3889994294561922,120
1400,1788993947.0516288,-3.9646881729954826,-0.2253350051844203,-2.410700554046397,-4.328939599363933,-0.15913098204387519,-2.410700554046397,-4.053939599363933,-0.3091309820438752,-2.510700554046397,0.37021895452751247,0.12242378382746255,0.0,0.10000000000000009,0.986039529467581,0.001777014544767419,0.40877277049177035,0.22190732472708613,120
