run,source_time_s,segment_id,dt_s,u_mps,v_mps,r_radps,wheel_mps,steering_rad,throttle_norm,steering_target_rad,steering_rate_radps,model_steering_rate_radps,wheel_rate_mps2,model_wheel_rate_mps2,front_slip_angle_rad,rear_slip_angle_rad,measured_du_mps2,model_du_mps2,residual_du_mps2,measured_dv_mps2,model_dv_mps2,residual_dv_mps2,measured_dr_radps2,model_dr_radps2,residual_dr_radps2
01_longitudinal_throttle_from_rest_40hz_20260913,7.46600056,1,0.02600001999999968,0.0025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.01153845266272886,-5.465438628509619,5.453900175846891,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.49200058,1,0.02399969000000013,0.0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.012500161460418803,-5.46535672850962,5.452856567049201,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.51600027,1,0.025000099999999748,0.0019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.007999968000128085,-5.465274828509619,5.457274860509491,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.54100037,1,0.02600001999999968,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.007692301775152571,-5.46522022850962,5.457527926734467,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.56700039,1,0.024000170000000765,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.008333274305973404,-5.465165628509619,5.456832354203646,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.59100056,1,0.024999439999999318,0.0013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004000089602007196,-5.465111028509619,5.461110938907612,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.616,1,0.02500027000000049,0.0012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.007999913600932948,-5.46508372850962,5.457083814908687,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.64100027,1,0.02600001999999968,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0038461508875762894,-5.465029128509619,5.461182977622043,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.66700029,1,0.024000169999999876,0.0009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.004166637152986851,-5.465001828509619,5.460835191356632,0.0,0.0,0.0,0.0,0.0,0.0
01_longitudinal_throttle_from_rest_40hz_20260913,7.69100046,1,0.025000100000000636,0.0008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0039999840000639,-5.464974528509619,5.460974544509555,0.0,0.0,0.0,0.0,0.0,0.0
