regime,speed_mps,steering_rad,v_error_mps,r_error_radps
cornering,9.5603,-0.0524,0.0619834718,-0.00152904005
cornering,9.5599,-0.0524,0.0619853229,-0.00135100951
cornering,9.5596,-0.0524,0.0619282105,-0.00147030496
cornering,9.5593,-0.0524,0.0620487866,-0.00168386775
cornering,9.5591,-0.0524,0.0619319847,-0.00150862452
cornering,9.5588,-0.0524,0.0618477934,-0.00162260246
cornering,9.5586,-0.0524,0.0644167495,-0.00145952101
cornering,9.5584,-0.0524,0.0595250559,-0.00151372028
cornering,9.5583,-0.0524,0.0643891452,-0.0015731766
cornering,9.5581,-0.0524,0.0569992258,-0.00161853269
cornering,9.5579,-0.0524,0.0644118661,-0.00170173132
cornering,9.5578,-0.0524,0.061941871,-0.00168064688
cornering,9.5577,-0.0524,0.061938411,-0.00158891106
cornering,9.5576,-0.0524,0.0644328504,-0.00171086027
cornering,9.5575,-0.0524,0.0593913766,-0.00177397682
cornering,9.5574,-0.0524,0.0619349697,-0.00160564292
cornering,9.5573,-0.0524,0.0619635261,-0.00161245407
cornering,9.5572,-0.0524,0.0619834394,-0.00171919766
cornering,9.5572,-0.0524,0.0618865484,-0.00162781329
cornering,9.5571,-0.0524,0.0619107887,-0.00182606835
cornering,9.5571,-0.0524,0.0619825462,-0.00162775604
cornering,9.557,-0.0524,0.0620111494,-0.00163468868
cornering,9.557,-0.0524,0.0643114601,-0.00177155275
cornering,9.5569,-0.0524,0.0620279601,-0.00173284407
cornering,9.5569,-0.0524,0.0594568634,-0.00171121749
cornering,9.5569,-0.0524,0.0644085837,-0.00177150986
cornering,9.5568,-0.0524,0.0595542082,-0.0016111752
cornering,9.5568,-0.0524,0.064333193,-0.00187851531
cornering,9.5568,-0.0524,0.0595557165,-0.00172705191
cornering,9.5567,-0.0524,0.0644060997,-0.00178026623
cornering,9.5567,-0.0524,0.0594583827,-0.00183584131
cornering,9.5567,-0.0524,0.0619089213,-0.00165206102
cornering,9.5567,-0.0524,0.0620289839,-0.00165024068
cornering,9.5567,-0.0524,0.0618551993,-0.00175727618
cornering,9.5566,-0.0524,0.0620522234,-0.00174845262
cornering,9.5566,-0.0524,0.0644307263,-0.00178731956
cornering,9.5566,-0.0524,0.0594773831,-0.00182676213
cornering,9.5566,-0.0524,0.0619294042,-0.00165902689
cornering,9.5566,-0.0524,0.0619524332,-0.00175723324
cornering,9.5566,-0.0524,0.0619554055,-0.00185726957
cornering,9.5566,-0.0524,0.0619286615,-0.0016590178
cornering,9.5566,-0.0524,0.0644307263,-0.00178731956
cornering,9.5566,-0.0524,0.0594781261,-0.00172677135
cornering,9.5566,-0.0524,0.0619524332,-0.00165723324
cornering,9.5566,-0.0524,0.0571277171,-0.00180934967
cornering,9.5566,-0.0524,0.0669048987,-0.00181023268
cornering,9.5566,-0.0524,0.0618591047,-0.00176615302
cornering,9.5565,-0.0524,0.0620499147,-0.00175719333
cornering,9.5565,-0.0524,0.0619528707,-0.00176606741
cornering,9.5565,-0.0524,0.061855843,-0.00176610382
