stamp_s,left_angle_rad,right_angle_rad,ax_mps2,ay_mps2,yaw_rate_radps,yaw_rad
1789473786.866477,143.9864,143.9668,0.5233,-0.16,-0.0523,-0.18403655393759677
1789473786.8914769,145.3347,145.315,0.6257,0.022,-0.0045,-0.18433658087015004
1789473786.9164789,146.6862,146.6666,0.4151,-0.1035,-0.0288,-0.1849512313044342
1789473786.9414785,148.0476,148.0279,0.5539,-0.2238,-0.0629,-0.18651656296170716
1789473786.966478,149.4187,149.3991,0.6426,-0.2216,-0.0681,-0.18808340496389286
1789473786.9914768,150.7932,150.7703,0.4262,-0.4503,-0.1274,-0.19091981557188342
1789473787.0164769,152.1774,152.1513,0.559,-0.454,-0.1379,-0.19436952436429394
1789473787.0414789,153.5617,153.5355,0.3727,-0.3686,-0.1185,-0.19752003932046636
1789473787.0664785,154.9558,154.9263,0.5246,-0.4656,-0.139,-0.20070224722862462
1789473787.091478,156.3597,156.327,0.6264,-0.2174,-0.0796,-0.20292619891243274
1789473787.1164768,157.7636,157.7309,0.4198,-0.2371,-0.075,-0.2048119028456039
1789473787.1414769,159.1806,159.1446,0.5549,-0.2461,-0.0753,-0.20673447351241414
1789473787.1664789,160.6041,160.5681,0.6447,-0.2276,-0.0707,-0.20862702081155615
1789473787.1914785,162.0309,161.9949,0.4305,-0.44,-0.1221,-0.21145583519754996
1789473787.216478,163.4675,163.4283,0.5606,-0.4528,-0.1328,-0.21466083904698996
1789473787.241477,164.914,164.8747,0.6476,-0.3422,-0.1077,-0.21752690031495892
1789473787.2664769,166.3703,166.3277,0.7062,-0.386,-0.1136,-0.22039680024183372
1789473787.2914789,167.8298,167.784,0.4794,-0.1516,-0.0568,-0.2220161684573536
1789473787.3164785,169.2959,169.2533,0.5941,-0.1255,-0.0415,-0.22298225667533927
1789473787.3414783,170.7717,170.7292,0.6709,-0.1615,-0.047,-0.22426089648218325
1789473787.366477,172.2509,172.2084,0.4544,-0.0314,-0.0156,-0.22488162887540852
1789473787.390478,173.681,173.6384,0.5838,-0.1851,-0.0475,-0.22585289970840217
1789473787.4164789,175.242,175.1962,0.6512,-0.2545,-0.0691,-0.22744932073748703
1789473787.4414785,176.7408,176.695,0.445,-0.1762,-0.0533,-0.22876987412346161
1789473787.466478,178.2527,178.2036,0.5688,-0.3444,-0.0912,-0.23099773190230644
1789473787.4914768,179.7711,179.7253,0.6516,-0.3493,-0.0971,-0.2332596215942857
1789473787.515478,181.2437,181.1914,0.7223,-0.2762,-0.0813,-0.23548415211285012
1789473787.5414789,182.8374,182.7851,0.4841,-0.3807,-0.1036,-0.23806799618507535
1789473787.5664785,184.3788,184.3264,0.5965,-0.2091,-0.0656,-0.23974448199222897
1789473787.5904787,185.8678,185.8154,0.6802,-0.3068,-0.0825,-0.24166470929273087
1789473787.6154783,187.4222,187.3698,0.4656,-0.322,-0.0884,-0.24390088536782262
1789473787.6404781,188.9864,188.9308,0.5794,-0.3696,-0.0999,-0.24621940677824172
1789473787.665477,190.5605,190.5049,0.6527,-0.7081,-0.179,-0.25043310247020223
1789473787.6914785,192.2099,192.1509,0.694,-0.8339,-0.2195,-0.2557206213110268
1789473787.716478,193.797,193.7348,0.475,-0.9379,-0.2487,-0.2619312180399487
1789473787.741477,195.394,195.3253,0.5769,-1.1262,-0.2954,-0.2688812393446848
1789473787.765478,196.9386,196.8666,0.6628,-1.1059,-0.2967,-0.27612627194899253
1789473787.7914789,198.6207,198.5421,0.6958,-1.1907,-0.3157,-0.2841650008860177
1789473787.8164785,200.2242,200.1391,-0.0325,-1.4071,-0.3681,-0.29315765518245973
1789473787.8404787,201.7459,201.6575,-0.5284,-1.3374,-0.3615,-0.30195886629130064
1789473787.866477,203.3756,203.2774,-0.8755,-1.5097,-0.4051,-0.31214771711325917
1789473787.890478,203.5032,203.3396,-6.383,-1.4165,-0.4181,-0.32240706288330845
1789473787.9154768,203.5032,203.3396,-6.3303,-1.4156,-0.4372,-0.3334859553145755
1789473787.940479,203.5032,203.3396,-6.3027,-1.5567,-0.4983,-0.3457186147500473
1789473787.9654787,203.5032,203.3396,-6.2564,-1.4224,-0.4934,-0.3583922109889568
1789473787.9904783,203.5032,203.3396,-6.2159,-1.4773,-0.5374,-0.37191819628718603
1789473788.015478,203.5032,203.3396,-6.1833,-1.4092,-0.5523,-0.3859028730741312
1789473788.0404768,203.5032,203.3396,-6.1418,-1.2615,-0.5377,-0.39964580206430944
1789473788.065479,203.5032,203.3396,-6.0969,-1.2467,-0.5643,-0.41393881450113246
1789473788.0904787,204.4817,204.3541,1.361,-1.4645,-0.5758,-0.4282518206625179
1789473788.1154783,205.5714,205.4274,0.8149,-1.56,-0.6092,-0.4431027896652928
1789473788.1414769,206.707,206.5466,0.4793,-1.696,-0.6604,-0.4599628313087205
1789473788.165477,207.7542,207.5807,0.2817,-1.7776,-0.6944,-0.4766987869294126
1789473788.190479,208.8472,208.6574,0.1353,-1.9645,-0.759,-0.4952365778586376
1789473788.2154787,209.9435,209.734,0.0243,-2.1846,-0.8427,-0.5157861352421884
1789473788.2404783,211.0398,210.8107,-0.0419,-2.3215,-0.9022,-0.5382205601480083
1789473788.2664769,212.1786,211.9299,-0.1004,-2.5022,-0.9732,-0.5631278328550442
1789473788.2904768,213.2323,212.9607,-0.1599,-2.7428,-1.0597,-0.5880015302493757
1789473788.315479,214.3319,214.0341,-0.209,-2.9708,-1.1497,-0.6163289040047912
1789473788.3404787,215.4314,215.1075,-0.2636,-3.2116,-1.2472,-0.6469714181006005
1789473788.366477,216.5768,216.2201,-0.2941,-3.3804,-1.3246,-0.6811463206174264
1789473788.3914769,217.6666,217.2837,-0.6694,-3.613,-1.4241,-0.7161372919179287
1789473788.4154768,218.717,218.2982,-0.5819,-3.7703,-1.4972,-0.7517484655153877
1789473788.4414785,219.8526,219.3977,-0.5367,-3.9322,-1.5708,-0.792267515206241
1789473788.4654787,220.8998,220.4122,-0.5553,-4.1602,-1.6567,-0.8313839434547079
1789473788.4904783,221.9895,221.4692,-0.5055,-4.1625,-1.6851,-0.8735144195213587
1789473788.515478,223.0825,222.5229,-0.5159,-4.2876,-1.7331,-0.9165267273678572
1789473788.5404768,224.1723,223.5767,-0.4895,-4.283,-1.7433,-0.9601626477690085
1789473788.565479,225.2653,224.6304,-0.4759,-4.2853,-1.7463,-1.0038105620676725
1789473788.5904787,226.355,225.6842,-0.5673,-4.4888,-1.8082,-1.0488035297302685
1789473788.6154783,227.448,226.7379,-0.5656,-4.5097,-1.8364,-1.0945709162221604
1789473788.6404781,228.5378,227.7884,-0.6291,-4.6526,-1.8902,-1.1416425493133184
1789473788.664478,229.585,228.7996,-0.6657,-4.7536,-1.9362,-1.187767940061375
1789473788.690479,230.7205,229.8926,-0.631,-4.7246,-1.9493,-1.2384110768282088
1789473788.7154787,231.8135,230.9463,-0.6363,-4.7801,-1.9662,-1.2876599513051379
1789473788.7404783,232.9033,231.9968,-0.6287,-4.7924,-1.9762,-1.3371123696743297
1789473788.765478,233.993,233.0473,-0.5814,-4.7166,-1.9574,-1.38622494657186
1789473788.7904768,235.086,234.0977,-0.629,-4.8192,-1.9824,-1.4355728895891513
1789473788.815479,236.1758,235.1482,-0.6141,-4.8071,-1.9855,-1.4852915429665323
1789473788.8404787,237.259,236.1889,-0.8756,-4.7358,-1.9792,-1.5349482221961868
1789473788.8654783,238.3389,237.2328,-0.7936,-4.7567,-1.989,-1.584774196623821
1789473788.890478,239.4221,238.2702,-0.7295,-4.7654,-1.993,-1.634617574325863
1789473788.9154768,240.502,239.3108,-0.6998,-4.7814,-2.0015,-1.6846913816253866
1789473788.940479,241.5819,240.3515,-0.6695,-4.7829,-2.0036,-1.734825978030955
1789473788.9654787,242.6619,241.3921,-0.6323,-4.7563,-1.9954,-1.7848976804155543
1789473788.9904783,243.7516,242.4393,-0.3347,-4.7707,-1.9865,-1.834633119116271
1789473789.015478,244.8479,243.4996,-0.1491,-4.7848,-1.9783,-1.884201723982484
1789473789.0404768,245.954,244.5665,-0.0003,-4.8042,-1.962,-1.9332955078440153
1789473789.065479,247.0601,245.6366,-0.1583,-4.7518,-1.9379,-1.9817518833053323
1789473789.0904787,248.1793,246.7197,-0.0055,-4.7551,-1.9203,-2.029912364259762
1789473789.114479,249.2527,247.7571,-0.1585,-4.7273,-1.9024,-2.075717859845739
1789473789.1404781,250.4177,248.8829,-0.257,-4.6722,-1.875,-2.124501237516054
1789473789.164478,251.4943,249.9235,-0.3011,-4.5833,-1.8415,-2.168935154159899
1789473789.190479,252.6626,251.0493,-0.3212,-4.4932,-1.7996,-2.215867339056892
1789473789.2154787,253.7818,252.1357,-0.2854,-4.3166,-1.7338,-2.2595764564700738
1789473789.2404783,254.9043,253.2189,-0.287,-4.1812,-1.6738,-2.301611741465414
1789473789.2644787,255.9809,254.2628,-0.297,-4.0805,-1.6284,-2.340952576851778
1789473789.289478,257.1099,255.3591,0.0113,-3.9821,-1.5762,-2.380562347972467
1789473789.315479,258.3109,256.5274,0.7545,-4.012,-1.5411,-2.420658971838062
1789473789.3394768,259.4399,257.627,0.9989,-3.9287,-1.4895,-2.456485537228889
