simulation_time_k_s,simulation_time_k1_s,simulation_physics_step_k,simulation_physics_step_k1,physics_step_delta,dt_sim_s,x_k_m,y_k_m,yaw_k_rad,u_k_mps,v_k_mps,r_k_radps,throttle_k_norm,x_k1_m,y_k1_m,yaw_k1_rad,u_k1_mps,v_k1_mps,r_k1_radps,steering_k1_rad,throttle_k1_norm
2.206,2.23100019,2207.0,2232.0,25.0,0.02500019000000009,0.0334,1.651,1.3744350314759108,-0.0015,0.4201,0.6668,0.0,0.0127,1.6302,1.3751217792636394,0.0133,0.4131,0.3218,0.0,0.0
2.23100019,2.256,2232.0,2257.0,25.0,0.024999809999999734,0.0127,1.6302,1.3751217792636394,0.0133,0.4131,0.3218,0.0,-0.0101,1.6145,1.3786025178921237,0.0368,0.4064,-6.627,0.0,0.0
2.256,2.28000021,2257.0,2281.0,24.0,0.024000210000000077,-0.0101,1.6145,1.3786025178921237,0.0368,0.4064,-6.627,0.0,-0.0206,1.618,1.3815116448336964,0.0453,0.3997,-6.6465,0.0,0.0
2.28000021,2.305,2281.0,2306.0,25.0,0.0249997900000003,-0.0206,1.618,1.3815116448336964,0.0453,0.3997,-6.6465,0.0,-0.0282,1.6213,1.3909107114074062,0.0633,0.3908,6.872,0.0,0.0
2.305,2.33000016,2306.0,2331.0,25.0,0.025000159999999827,-0.0282,1.6213,1.3909107114074062,0.0633,0.3908,6.872,0.0,-0.0404,1.6305,1.3858983565150647,0.0861,0.3885,-6.7406,0.0,0.0
2.33000016,2.355,2331.0,2356.0,25.0,0.024999839999999995,-0.0404,1.6305,1.3858983565150647,0.0861,0.3885,-6.7406,0.0,-0.0462,1.6383,1.3943147739815336,0.1157,0.3801,6.8708,0.0,0.0
2.355,2.38,2356.0,2381.0,25.0,0.02499999999999991,-0.0462,1.6383,1.3943147739815336,0.1157,0.3801,6.8708,0.0,-0.0571,1.6513,1.3884434509829173,0.1421,0.3791,-6.7874,0.0,0.0
2.38,2.40500021,2381.0,2406.0,25.0,0.025000209999999967,-0.0571,1.6513,1.3884434509829173,0.1421,0.3791,-6.7874,0.0,-0.0624,1.6614,1.396470315685335,0.1539,0.3737,6.8826,0.0,0.0
2.40500021,2.43,2406.0,2431.0,25.0,0.0249997900000003,-0.0624,1.6614,1.396470315685335,0.1539,0.3737,6.8826,0.0,-0.0731,1.6754,1.3904571671771588,0.178,0.3733,-6.8096,0.0,0.0
2.43,2.45500016,2431.0,2456.0,25.0,0.025000159999999827,-0.0731,1.6754,1.3904571671771588,0.178,0.3733,-6.8096,0.0,-0.0814,1.6835,1.398471103414865,0.2154,0.3591,6.8922,0.0,0.0
2.45500016,2.48,2456.0,2481.0,25.0,0.024999839999999995,-0.0814,1.6835,1.398471103414865,0.2154,0.3591,6.8922,0.0,-0.0984,1.6677,1.3920653373700667,0.3201,0.3593,-6.8869,0.0,0.0
2.48,2.505,2481.0,2506.0,25.0,0.02499999999999991,-0.0984,1.6677,1.3920653373700667,0.3201,0.3593,-6.8869,0.0,-0.1076,1.6499,1.3989827586206998,0.4479,0.352,6.979,0.0,0.0
2.505,2.53000021,2506.0,2531.0,25.0,0.025000209999999967,-0.1076,1.6499,1.3989827586206998,0.4479,0.352,6.979,0.0,-0.1208,1.644,1.3921918979569625,0.5103,0.3533,-6.9452,0.0,0.0
2.53000021,2.55600023,2531.0,2557.0,26.0,0.026000020000000124,-0.1208,1.644,1.3921918979569625,0.5103,0.3533,-6.9452,0.0,-0.1309,1.64,1.3921380317419958,0.5489,0.3872,-6.9874,0.0,0.0
2.55600023,2.58000016,2557.0,2581.0,24.0,0.023999930000000003,-0.1309,1.64,1.3921380317419958,0.5489,0.3872,-6.9874,0.0,-0.1403,1.6419,1.392189434344452,0.5715,0.4029,-6.9945,0.0,0.0
2.58000016,2.605,2581.0,2606.0,25.0,0.024999839999999995,-0.1403,1.6419,1.392189434344452,0.5715,0.4029,-6.9945,0.0,-0.1466,1.6476,1.399161666773729,0.5791,0.4158,6.9954,0.0,0.0
2.605,2.63,2606.0,2631.0,25.0,0.02499999999999991,-0.1466,1.6476,1.399161666773729,0.5791,0.4158,6.9954,0.0,-0.1587,1.6591,1.3922171256895703,0.5595,0.4115,-6.9759,0.0,0.0
2.63,2.65600014,2631.0,2657.0,26.0,0.026000140000000282,-0.1587,1.6591,1.3922171256895703,0.5595,0.4115,-6.9759,0.0,-0.1666,1.6735,1.3922179149467424,0.5576,0.3718,-6.9432,0.0,0.0
2.65600014,2.68,2657.0,2681.0,24.0,0.023999859999999984,-0.1666,1.6735,1.3922179149467424,0.5576,0.3718,-6.9432,0.0,-0.1733,1.6865,1.3932181574221043,0.53,0.3336,-6.9323,0.0,0.0
